firstName,lastName,email,password,user_role
 Issac, Newton,issacNewton@touchgrass.com, grav1ty,Author
 Kathleen, Kiera,KathleenKiera@touchgrass.com, burd3n123,Author
 Russell, Lee,RussellLee@touchgrass.com, r3ss3ll,Reviewer
 Owen, Quek,BloodLust4life@touchgrass.com, killNKill,Conference Chair
 Valery, Lim,ValeryLim@touchgrass.com, sayNoToMe,Author
 Charles, Darwin,charlesDarwin@touchgrass.com, evolution!,Author
 Grigori, Rasputin,grigoriRasputin@touchgrass.com, raspberry,Reviewer
 Andrew, Chua,AndrewC2@touchgrass.com, iamAnd,Conference Chair
 Tommy, Chua,TommyC@touchgrass.com, tomNTom,Author
 Stephen, Low,stephenLow@touchgrass.com, step226,Reviewer
 Kok Leong, low,iNeedAbreak@touchgrass.com, iluvPhysics,Author
 Arissa, Ng,iAmveryTired2@touchgrass.com, iluvChemistry,Author
 Shu En, Ng,sayNoToSchool@touchgrass.com, screwSchool,Author
 beng keong, Ng,noMoreNames@touchgrass.com, outofjuice,Reviewer
 May, Phua,ScrewAssignment@touchgrass.com, encrypt3d,System Admin
 John, Matthew,iMustBeMad@touchgrass.com, dss234,System Admin
 Xander, Teo,RiseNGrind@touchgrass.com, keepGrinding,Author
 Zi Leng, teo,TeoZiLeng@touchgrass.com, gg.com.sg,Conference Chair
 Tze Shuen, Ng,TzeShuen@touchgrass.com, qwerasd,Conference Chair
 Mango, Lee,MangoLee@touchgrass.com, mangoes!,Author
 Jia ming, Ho,pandaboy@touchgrass.com, table222,Author
 Yue Qi, Ho,pandagirl@touchgrass.com, noMorePw,Conference Chair
 Fei, Yue,YueFei@touchgrass.com, HeroNo1,Reviewer
 Wilbur, Pan,WilburPan@touchgrass.com, iamWilbur,Reviewer
 Jay, Chou,JayChou@touchgrass.com, iamJay,Reviewer
 Zhong Qi, Yue,YueZhongQi@touchgrass.com, moreNames,Conference Chair
 Stephen, Hawking,StephenHawking@touchgrass.com, blackHoles,Author
 Thomas, Train,ThomasTheFriend@touchgrass.com, traintrain,Author
 Patricia, Mok,PatriciaMok@touchgrass.com, IamPat,Author
 WeiLun, Neo,IamWeilun@touchgrass.com, noobShit,Author
 Philip, Mountbatten,princePhilip@touchgrass.com, philip1,Author
 Geng Yao, Nian,gengYao@touchgrass.com, iamNian,Author
 Susan, Chia,susanChia@touchgrass.com, susanisMe,Conference Chair
 James, koh,JamesKoh@touchgrass.com, iamJames,Author
 Jamie, Chua,IamJamie@touchgrass.com, ilovecigg,Reviewer
 Donus, lim,HengOngHuat@touchgrass.com, iwanttoHuat,System Admin
 Lydia, Goh,tenMoretoGo@touchgrass.com, liowliow,Author
 Lydia, Lee,LydiaLee@touchgrass.com, lyns23,Author
 Linda, Soh,lindaSoh@touchgrass.com, lynlin,Author
 Kai Jun, Soh,iamneww@touchgrass.com, Ssd,Reviewer
 Melvin, Loh,melvinLoh@touchgrass.com, melmel2,Conference Chair
 Magnus, John,magnusJohn@touchgrass.com, magnum,Author
 Elijah, tse,deathhasCome@touchgrass.com, deathIsFair,Author
 Nicholas, Pek,nicholasPek@touchgrass.com, this1s,Author
 Shanice, white,iamDoss@touchgrass.com, ddosdd0s ,Conference Chair
 Kai, Lim,LimKai@touchgrass.com, passsw0rd,Conference Chair
 Gillian, chan,GillainChan@touchgrass.com, iamGil,Reviewer
 WeiJie, Lim,LimWeijie@touchgrass.com, loss000,Author
 JunWei, Lee,LeeJunWei@touchgrass.com, leeHack,Conference Chair
 Douglas, chua,FinallyDONE@touchgrass.com, byebyeeee,Author
